88/06/01,7324.42,7397.62,7313.12,7397.62
88/06/02,7426.06,7493.68,7426.06,7488.03
88/06/03,7552.36,7604.51,7552.36,7572.91
88/06/04,7613.15,7628.14,7576.98,7590.44
88/06/05,7649.47,7684.85,7618.80,7639.30
88/06/07,7693.25,7818.09,7688.84,7802.69
88/06/08,7900.93,7940.38,7858.61,7892.13
88/06/09,7928.24,7980.11,7900.89,7957.71
88/06/10,7993.61,8058.18,7985.48,7996.76
88/06/11,8008.96,8028.39,7937.77,7979.40
88/06/14,8023.71,8039.64,7926.53,7973.58
88/06/15,8091.81,8109.28,7940.90,7960.00
88/06/16,7994.33,8059.02,7924.41,8059.02
88/06/17,8155.44,8290.25,8155.44,8274.36
88/06/21,8361.05,8483.95,8308.43,8413.48
88/06/22,8482.38,8640.11,8446.00,8608.91
88/06/23,8607.54,8661.39,8492.32,8492.32
88/06/24,8497.90,8627.88,8433.74,8589.31
88/06/25,8469.12,8497.60,8251.65,8265.96
88/06/28,8281.70,8341.85,8240.35,8281.45
88/06/29,8377.68,8514.27,8377.68,8514.27
88/06/30,8544.26,8576.78,8444.59,8467.37
88/07/02,8508.79,8642.62,8508.79,8572.09
88/07/03,8655.11,8710.71,8538.14,8563.55
88/07/05,8588.15,8668.15,8535.03,8593.35
88/07/06,8631.25,8663.92,8446.19,8454.49
88/07/07,8464.75,8500.61,8390.99,8470.07
88/07/08,8533.87,8610.90,8525.43,8592.43
88/07/09,8624.38,8663.06,8538.82,8550.27
88/07/12,8582.89,8592.05,8455.14,8463.90
88/07/13,8441.14,8441.14,8194.97,8204.50
88/07/14,8162.72,8249.16,7792.54,7888.66
88/07/15,7868.47,7964.99,7737.38,7918.04
88/07/16,7987.26,8024.19,7402.53,7411.58
88/07/17,7224.23,7368.50,7068.88,7366.23
88/07/19,7364.88,7455.22,7192.99,7386.89
88/07/20,7543.61,7826.49,7543.61,7806.85
88/07/21,7704.24,7830.76,7640.32,7786.65
88/07/22,7743.42,7798.94,7675.25,7678.67
88/07/23,7634.82,7735.52,7619.41,7724.52
88/07/26,7702.08,7730.60,7590.39,7595.71
88/07/27,7520.79,7538.53,7329.74,7367.97
88/07/28,7485.25,7533.87,7433.53,7484.50
88/07/29,7513.08,7513.08,7343.58,7359.37
88/07/30,7169.35,7420.84,7150.04,7413.11
88/07/31,7397.48,7467.33,7321.96,7326.75
88/08/02,7328.54,7355.15,7176.54,7195.94
88/08/03,7114.65,7191.96,6968.54,7175.19
88/08/04,7181.08,7274.66,7105.91,7110.80
88/08/05,7038.54,7078.58,6941.65,6959.73
88/08/06,6988.51,7031.80,6817.58,6823.52
88/08/07,6820.95,7070.67,6771.75,7049.74
88/08/09,7066.76,7110.82,7017.86,7028.01
88/08/10,7051.33,7269.60,7030.26,7269.60
88/08/11,7276.96,7321.00,7206.02,7228.68
88/08/12,7294.53,7393.89,7277.81,7330.24
88/08/13,7530.52,7683.03,7504.88,7626.05
88/08/16,7748.15,8018.47,7748.15,8018.47
88/08/17,8006.30,8101.41,7924.01,8083.43
88/08/18,8105.07,8155.74,7993.10,7993.71
88/08/19,7953.93,8005.43,7916.43,7964.67
88/08/20,7976.84,8135.66,7975.52,8117.42
88/08/21,8219.57,8278.30,8153.57,8153.57
88/08/23,8168.77,8193.76,8086.27,8119.98
88/08/24,8212.38,8255.48,7984.39,7984.39
88/08/25,7999.13,8133.95,7954.35,8127.09
88/08/26,8171.28,8240.17,8077.18,8097.57
88/08/27,8082.91,8135.24,8027.86,8053.97
88/08/30,8054.83,8159.56,8041.42,8071.36
88/08/31,8075.80,8196.66,8072.45,8157.73
88/09/01,8225.61,8360.84,8225.61,8273.33
88/09/02,8349.03,8414.60,8214.61,8226.15
88/09/03,8208.70,8217.24,8073.97,8073.97
88/09/04,8187.49,8215.51,8015.41,8065.11
88/09/06,8072.77,8135.37,8006.25,8130.28
88/09/07,8162.80,8196.38,7933.28,7945.76
88/09/08,7946.67,8033.31,7891.66,7973.30
88/09/09,7981.28,8048.14,7955.81,8025.02
88/09/10,8085.36,8175.36,8085.36,8161.46
